"","구 분","","’98","","","’01","","","’05","","","’07","","","’08","","","’09","","","’10","","","’11","","","’12","","","’13","","","’14","","","’15","","","’16","","","’17","","","’18","","","’19","","","’20","","","’21","","","’22","","","’23","",""
"","","","n","분율(표준오차)","","n","분율(표준오차)","","n","분율(표준오차)","","n","분율(표준오차)","","n","분율(표준오차)","","n","분율(표준오차)","","n","분율(표준오차)","","n","분율(표준오차)","","n","분율(표준오차)","","n","분율(표준오차)","","n","분율(표준오차)","","n","분율(표준오차)","","n","분율(표준오차)","","n","분율(표준오차)","","n","분율(표준오차)","","n","분율(표준오차)","","n","분율(표준오차)","","n","분율(표준오차)","","n","분율(표준오차)","","n","분율(표준오차)",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","소득수준(표준화)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"",""," 하","-","-","-","-","-","-","1,599","1.5","(0.4)","561","2.1","(0.7)*","1,321","2.7","(0.5)","1,467","4.0","(0.6)","1,215","3.3","(0.6)","1,204","4.2","(0.8)","1,079","2.1","(0.6)*","-","-","-","-","-","-","1,046","5.2","(0.9)","1,191","5.2","(0.8)","1,211","4.1","(0.7)","1,236","4.5","(0.8)","1,236","5.8","(0.9)","1,148","6.0","(1.1)","1,126","5.5","(1.0)","1,039","5.8","(1.0)","1,127","5.6","(0.9)"
"",""," 중하","-","-","-","-","-","-","1,548","1.7","(0.3)","570","1.9","(0.7)*","1,328","2.3","(0.5)","1,507","1.6","(0.4)","1,247","3.3","(0.7)","1,184","2.8","(0.6)","1,116","3.5","(0.7)","-","-","-","-","-","-","1,077","1.6","(0.4)","1,201","2.4","(0.5)","1,216","3.5","(0.6)","1,236","3.2","(0.7)","1,223","3.9","(0.7)","1,162","4.0","(0.8)","1,107","4.1","(0.7)","1,053","5.1","(1.0)","1,152","4.8","(0.9)"
"",""," 중","-","-","-","-","-","-","1,520","1.6","(0.4)","566","1.1","(0.5)*","1,295","2.4","(0.5)","1,476","2.0","(0.4)","1,271","1.5","(0.4)*","1,190","1.1","(0.3)*","1,087","2.9","(0.6)","-","-","-","-","-","-","1,081","2.5","(0.6)","1,201","2.7","(0.5)","1,221","1.8","(0.4)","1,242","2.0","(0.5)","1,225","2.5","(0.6)","1,172","3.7","(0.7)","1,123","3.0","(0.7)","1,051","5.7","(1.0)","1,150","6.1","(1.0)"
"",""," 중상","-","-","-","-","-","-","1,523","1.4","(0.3)","570","2.4","(0.9)*","1,341","1.6","(0.4)","1,494","2.0","(0.4)","1,214","1.1","(0.3)*","1,193","1.4","(0.4)*","1,110","2.1","(0.6)*","-","-","-","-","-","-","1,084","1.3","(0.3)","1,203","3.5","(0.8)","1,228","2.8","(0.6)","1,222","2.7","(0.6)","1,244","2.3","(0.5)","1,176","2.8","(0.7)","1,124","4.3","(0.8)","1,057","5.0","(1.0)","1,159","5.2","(0.9)"
"",""," 상","-","-","-","-","-","-","1,524","1.1","(0.3)*","572","0.6","(0.2)*","1,298","1.5","(0.4)*","1,455","1.6","(0.4)","1,228","1.7","(0.4)*","1,207","1.7","(0.5)*","1,134","1.6","(0.5)*","-","-","-","-","-","-","1,088","1.8","(0.4)","1,199","3.4","(0.7)","1,220","2.0","(0.4)","1,231","2.1","(0.5)","1,237","2.7","(0.7)*","1,179","2.9","(0.5)","1,127","3.5","(0.8)","1,050","3.0","(0.6)","1,160","4.6","(0.8)"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","남자","19세이상","-","-","-","-","-","-","3,510","0.9","(0.2)","1,238","1.4","(0.4)*","2,837","1.4","(0.2)","3,236","1.5","(0.2)","2,704","1.3","(0.2)","2,560","1.9","(0.3)","2,309","1.3","(0.3)","-","-","-","-","-","-","2,352","1.7","(0.3)","2,592","2.2","(0.4)","2,718","2.5","(0.3)","2,713","1.8","(0.3)","2,745","2.6","(0.4)","2,626","2.5","(0.3)","2,482","2.8","(0.4)","2,287","2.9","(0.4)","2,517","3.1","(0.4)"
